local_time,conditions,temperature,pressure,humidity,staion
2011-02-17T01:05:11Z,Clear,16.2,1090.9401404112577,76.8471963180288,CBR
2011-02-17T02:05:11Z,Clear,15.9,1064.6626612264663,80.07285485486008,CBR
2011-02-17T03:05:11Z,Clear,15.5,1060.781912598759,83.73782381195475,CBR
2011-02-17T04:05:11Z,Clear,15.2,1078.7589559145272,86.41954295573028,CBR
2011-02-17T01:05:11Z,Clear,24.7,1092.376242065057,76.8471963180288,SYD
2011-02-17T02:05:11Z,Clear,24.4,1100.326539715007,80.07285485486008,SYD
2011-02-17T03:05:11Z,Clear,24.1,1109.7165124576538,83.73782381195475,SYD
2011-02-17T04:05:11Z,Clear,23.9,1084.8664373617619,86.41954295573028,SYD
2011-02-17T01:05:11Z,Clear,27,1085.0071151323616,76.8471963180288,BNE
2011-02-17T02:05:11Z,Clear,26.6,1092.2422515835613,80.07285485486008,BNE
2011-02-17T03:05:11Z,Clear,26.3,1097.1221900966018,83.73782381195475,BNE
2011-02-17T04:05:11Z,Clear,26,1116.6277475889772,86.41954295573028,BNE
2011-02-17T01:05:11Z,Clear,16.4,1102.1828362733127,76.8471963180288,MEL
2011-02-17T02:05:11Z,Clear,16.1,1086.2092894796283,80.07285485486008,MEL
2011-02-17T03:05:11Z,Clear,15.6,1086.5651127431543,83.73782381195475,MEL
2011-02-17T04:05:11Z,Rain,15.3,999.1758796773851,100,MEL
2011-02-17T01:05:11Z,Clear,20.6,1089.9276993822307,76.8471963180288,ADL
2011-02-17T02:05:11Z,Rain,20.3,982.5284155204893,100,ADL
2011-02-17T03:05:11Z,Clear,20,1080.7735928174109,83.73782381195475,ADL
2011-02-17T04:05:11Z,Clear,19.8,1097.3322314422578,86.41954295573028,ADL
2011-02-17T01:05:11Z,Rain,24.2,1017.4656487498432,96.8471963180288,PER
2011-02-17T02:05:11Z,Clear,23.9,1092.2081975508481,80.07285485486008,PER
2011-02-17T03:05:11Z,Clear,23.6,1096.8203498665243,83.73782381195475,PER
2011-02-17T04:05:11Z,Rain,23.3,1017.3672330435365,100,PER
2011-02-17T01:05:11Z,Clear,28.4,1107.1673975165934,76.8471963180288,OOL
2011-02-17T02:05:11Z,Clear,28.1,1090.8761788092554,80.07285485486008,OOL
2011-02-17T03:05:11Z,Rain,27.8,982.3111669372768,100,OOL
2011-02-17T04:05:11Z,Clear,27.6,1083.3628619767726,86.41954295573028,OOL
2011-02-17T01:05:11Z,Clear,38.9,1114.6160623211413,76.8471963180288,CNS
2011-02-17T02:05:11Z,Clear,38.6,1119.5898070897906,80.07285485486008,CNS
2011-02-17T03:05:11Z,Clear,38.3,1092.9093752302228,83.73782381195475,CNS
2011-02-17T04:05:11Z,Clear,38.1,1105.9929557204246,86.41954295573028,CNS
2011-02-17T01:05:11Z,Clear,12.7,1083.8270422481,76.8471963180288,HBA
2011-02-17T02:05:11Z,Rain,12.4,989.6430033203214,100,HBA
2011-02-17T03:05:11Z,Clear,12.1,1095.7942601516843,83.73782381195475,HBA
2011-02-17T04:05:11Z,Rain,11.9,985.4102628808469,100,HBA
2011-02-17T01:05:11Z,Clear,35.5,1075.6014301717282,76.8471963180288,ISA
2011-02-17T02:05:11Z,Clear,35.2,1100.4938594061882,80.07285485486008,ISA
2011-02-17T03:05:11Z,Rain,34.8,997.1105434741825,100,ISA
2011-02-17T04:05:11Z,Clear,34.6,1092.3174067117275,86.41954295573028,ISA
2011-02-17T01:05:11Z,Clear,43.2,1093.0082573395223,76.8471963180288,DRW
2011-02-17T02:05:11Z,Clear,42.8,1096.6085258431733,80.07285485486008,DRW
2011-02-17T03:05:11Z,Clear,42.3,1110.0077993169427,83.73782381195475,DRW
2011-02-17T04:05:11Z,Clear,42,1094.5532993718982,86.41954295573028,DRW
